"geo_state","geo_dist","geo_state_new","geo_dist_new","geo_village","geo_block","demo_gender","demo_age","demo_edu","demo_caste","demo_caste_oth","demo_religion","demo_religion_oth","demo_selfhelp","demo_ag_hh","demo_hh_size","mig_size","mig_total_ratio","mig_return_size","mig_return_ratio","mig_no_return_size","mig_noreturn_ratio","mig_most_inc","mig_avg_wage","mig_wage_unit","mig_daily_wage","mig_daily_wage_unit","mig_wage_change_mean","mig_zeroinc_prop","con_feb","con_wk","con_weekchange_mean","con_less_prop","con_wk_atta","con_curr_atta","con_atta_unavail_prop","con_attachange_mean","con_wk_onions","con_curr_onions","con_onion_unavail_prop","con_onionschange_mean","con_wk_rice","con_curr_rice","con_rice_unavail_prop","con_ricechange_mean","lab_march_occu","lab_march_occu_oth","lab_march_wage","lab_march_freq","lab_curr_occu","lab_curr_wage","lab_zeroinc_prop","lab_wagechange_mean","lab_curr_freq","lab_workdayschange_mean","lab_nowork_none_prop","lab_nowork_cant_find_prop","lab_nowork_wages_prop","lab_nowork_shut_prop","lab_nowork_materials_prop","lab_nowork_covid_choice_prop","lab_nowork_fines_prop","lab_nowork_dk","lab_nowork_ref","lab_nowork_oth","agr_crop_grown","agr_crop_grown_oth","agr_crop_planted","agr_crop_cat_prop","agr_prc_yr","agr_prc_yr_unit","agr_prc_yr_unit_oth","agr_prc_prev_yr_kg","agr_crop_perish","agr_crop_cereals","agr_crop_pulses","agr_crop_status","agr_sales_not_started_prop","agr_sales_ongoing_prop","agr_sales_complete_prop","agr_crop_sold","agr_sell_most_curr_prop","agr_nosell_notready","agr_nosell_seeds","agr_nosell_destroy","agr_nosell_demand","agr_nosell_markets","agr_nosell_prices","agr_nosell_lckdwn","agr_nosell_labor","agr_nosell_transport","agr_nosell_machine","agr_nosell_dk","agr_nosell_ref","agr_nosell_oth","agr_prc_holi","agr_prc_holi_unit","agr_prc_holi_unit_oth","agr_prc_holi_kg","agr_prc_curr","agr_prc_curr_unit","agr_prc_curr_unit_oth","agr_prc_curr_kg","agr_prc_change_holi_mean","agr_selldiff_none","agr_selldiff_labor","agr_selldiff_transport","agr_selldiff_markets","agr_selldiff_demand","agr_selldiff_travel","agr_selldiff_police","agr_selldiff_dk","agr_selldiff_ref","agr_selldiff_oth","agr_sell_lckdwn","agr_sell_prevyr","agr_sell_most_prevyr_prop","agr_next_ssn_land","agr_next_ssn_unit","agr_next_ssn_unit_oth","agr_next_ssn_inputs","agr_next_ssn_borrow","agr_land_prevyr","agr_land_prevyr_unit","agr_land_prevyr_unit_oth","agr_prevyr_land_main","agr_prevyr_land_main_unit","agr_prevyr_main_inputs","agr_prevyr_main_borrow","agr_monsoon_inputs","agr_monsoon_borrow","agr_curr_land","agr_curr_land_unit","agr_curr_land_unit_oth","agr_curr_inputs","agr_curr_borrow","agr_land_change_mean","agr_inputs_change_abs_mean","agr_borrow_change_abs_mean","agr_prc_change_yr_mean","rel_bank","rel_transfer_rec","rel_govt_transfer_fa_prop","rel_check_balance","rel_april_checked","rel_transfer_amt","rel_transfer_mem","rel_amt_received_mean","rel_ration_prc_closed","rel_ration_prc_nogo","rel_ration_prc_none","rel_ration_prc_free","rel_ration_prc_cheaper","rel_ration_prc_exp","rel_ration_prc_unavail","rel_ration_prc_dk","rel_ration_prc_ref","rel_cheap_ration_prop","rel_nrega","rel_nrega_unavail_prop","rel_nrega_incr_prop","rel_nrega_dec_prop","rel_nrega_same_prop","rel_nrega_stop_prop","hea_fac_visit","hea_fac_type","hea_fac_type_oth","hea_service_oth","hea_service_treat","hea_service_imm","hea_service_anc","hea_service_fp","hea_service_child_grw","hea_service_health","hea_service_edu","hea_avoid","hea_avoid_treat","hea_avoid_imm","hea_avoid_anc","hea_avoid_fp","hea_avoid_child_grw","hea_avoid_checkup","hea_avoid_edu","hea_avoid_oth","hea_avoid_dk","hea_avoid_ref","hea_symp_fever","hea_symp_cough","hea_symp_tired","hea_symp_breath","hea_symp_pain","hea_symp_appetite","hea_symp_throat","hea_symp_diarrhea","hea_symp_nausea","hea_symp_congest","hea_symp_smell","hea_symp_oth","hea_symp_dk","hea_symp_ref","hea_symp_main_prop","hea_prev_wash","hea_prev_san","hea_prev_cover","hea_prev_face","hea_prev_dist","hea_prev_crowd","hea_prev_sick","hea_prev_contact","hea_prev_touch","hea_prev_clean","hea_prev_mask","hea_prev_nospit","hea_prev_home","hea_prev_oth","hea_prev_dk","hea_prev_ref","hea_prev_aware_prop","sampling_frame","strata_id","psu","weight_base","weight_raked","weight_hh","hh_id_long_anon_str","health_eligible","fully_complete","religion_hhinfo","religion_other_hhinfo","caste_hhinfo","caste_other_hhinfo","ciff_edu","lab_occ_none","lab_occ_selfag","lab_occ_selfnonag","lab_occ_salary","lab_occ_dailyw","lab_occ_mar_none","lab_occ_mar_selfag","lab_occ_mar_selfnon","lab_occ_mar_salary","lab_occ_mar_dailyy","shrid","pc11_s_id","pc11_town_id","pc11_sd_id","pc11_subdistrict_id","pc11_district_id","pc11_d_id","latitude","longitude","altitude","accuracy","master_dist_no","master_dist_name","master_hh_id_short","master_hh_id_long_str","master_health_eligible"
28,5,,,"Anatharajipeta","రైల�_వే koduru",1,49,3,2,,1,,1,0,5,0,0,,,,,,,,,,,,5000,7500,3,0,,,,,35,15,0,-0.571428596973419,50,65,0,0.300000011920929,3,,200,2,0,0,1,-1,0,-1,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,-999,,1,1,1,0,0,0,1,0,0,0,0,0,1,3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SOAR",13,"328",1,41793.7604162088,41793.76171875,"285753328973",0,1,,,,,,1,0,0,0,0,0,0,0,1,0,,,".",,,,".",,,,,"5","5",1,280050130571,0
23,419,,,"Chihoniya","Amba",1,27,4,1,,1,,0,1,3,0,0,,,,,,,,,,,,3000,700,-0.0666666701436043,1,25,20,0,-0.200000002980232,50,20,0,-0.600000023841858,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,20000,20000,6,5,,,,,,25000,20000,,,,,,-0.666666686534882,-0.200000002980232,0,,0,0,0,,,,,,0,1,0,0,0,0,0,0,0,,3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SBCC",37,"013",20,50830.5114094838,50830.51171875,"234194180131008",0,1,,,,,,,,,,,,,,,,"11-23-451983",23,"451983",3385,"03385","419","419",26.5730667114258,78.2645416259766,107,9.30000019073486,"419","419",1533,234194191941533,0
8,128,,,"Gathakhedi","Chhabra",1,22,5,3,,1,,1,1,4,0,0,,,,,,,,,,,,5000,1500,0.200000002980232,0,24,20,0,-0.16666667163372,80,22,0,-0.725000023841858,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,30000,,,,,,,,30000,20000,,,,,,,-0.333333343267441,0.5,,1,1,1,2,1,4000,1,4000,0,0,0,1,0,0,0,0,0,1,4,1,0,0,0,1,1,1,,,1,0,0,0,0,0,0,0,,,,,,,,,,,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,"CIFF",196,"092",841.956237792969,4489.83537261294,4489.83544921875,"81280530921107",1,1,,,,,,,,,,,,,,,,"11-08-103528",8,"103528",676,"00676","128","128",24.5474796295166,76.8690338134766,0,3500,"128","Baran",621,8128196215621,1
20,360,20,360,"Pabra","Katkamsandi",1,42,3,4,,1,,1,1,5,0,0,,,,,,,,,,,,6000,1000,-0.333333343267441,1,30,30,0,0,30,15,0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,23,,2,3,,,,,1,0,0,1,1,0,0,,,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,0,,,,,,11000,0,,,,,1,1,1,4,0,2850,2,2850,0,0,0,1,0,0,0,0,0,1,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,"CIFF",25,"073",1592.78100585938,12009.3822979973,12009.3818359375,"20360935073437",1,1,,,,,,,,,,,,,,,,"11-20-368651",20,"368651",2654,"02654","360","360",24.0558624267578,85.3426513671875,0,80.9000015258789,"360","Hazaribagh",297,20360025081297,1
20,346,20,346,"Bawliya","Dhanday",1,26,5,2,,1,,1,0,9,1,1,0,0,1,1,3,,,,,,,5000,1200,-0.0399999991059303,1,25,22,0,-0.119999997317791,40,40,0,0,,,,,99,"Kapra Macin chalata hai",2100,7,0,0,1,-1,0,-1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,1300,2,1300,0,0,0,1,0,0,0,0,0,1,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,1,1,0,0,0,0,1,0,0,0,0,,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,,0,0,1,"CIFF",81,"067",349.224029541016,2165.5959537767,349.224029541016,"20346654067310",0,1,1,,2,,7,1,0,0,0,0,0,0,0,0,0,"11-20-347573",20,"347573",2506,"02506","346","346",24.1507663726807,83.5898056030273,217.399993896484,7.40000009536743,"346","Garwha",737,20346081494737,0
20,367,20,367,"Koalvira","Kolewira",1,30,3,3,,1,,0,0,4,0,0,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,3,,,,0,,,,0,,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,803,1,803,0,0,0,0,1,0,0,0,0,1,4,1,0,0,0,1,0,,,,,,,,,,,0,,,,,,,,,,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"CIFF",71,"032",404.32666015625,2507.29647782036,2507.29638671875,"20367177032275",1,1,,,,,,1,0,0,0,0,0,0,0,1,0,"11-20-376654",20,"376654",2724,"02724","367","367",22.6998195648193,84.693733215332,542,89,"367","Simdega",196,20367071011196,1
23,427,,,"Semradas","Sagar",1,25,4,4,,1,,0,1,8,0,0,,,,,,,,,,,,15000,8000,1.13333332538605,0,30,15,0,-0.5,40,10,0,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,20000,15000,7,1,,,,,,30000,,,,,,,0.142857149243355,-0.333333343267441,,,1,0,0,4,0,,,,0,0,0,1,0,0,0,0,0,1,3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SBCC",9,"227",5,12707.6278523709,12707.6279296875,"234270272271047",0,1,,,,,,,,,,,,,,,,"11-23-460615",23,"460615",3449,"03449","427","427",23.8714561462402,78.7809600830078,441.799987792969,4,"427","427",333,23427427230333,0
20,365,,,"Raja kundla","Murhu",1,50,4,4,,1,,1,1,4,0,0,,,,,,,,,,,,12000,5000,0.666666686534882,0,26,32,0,0.230769231915474,25,8,0,-0.680000007152557,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,1,,,,,0,1,0,1,1,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,10000,,,,,,15000,10000,,,,,1,1,1,2,1,2000,1,2000,0,0,0,1,0,0,0,0,0,1,4,1,0,0,0,1,0,,,,,,,,,,,0,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,"CIFF",60,"088",369.810455322266,2323.60633847393,2323.6064453125,"20365791088908",1,1,,,,,,,,,,,,,,,,"11-20-375121",20,"375121",2703,"02703","365","365",23.0502624511719,85.2519912719727,540,4.80000019073486,"365","Khunti",729,20365060210729,1
8,113,,,"Valarawa","Tivri",1,28,3,2,,1,,0,1,5,0,0,,,,,,,,,,,,18000,3000,-0.333333343267441,1,22,27,0,0.227272734045982,60,10,0,-0.833333313465118,,,,,,,,,,,,,,,,,,,,,,,,,21,,1,3,,,,,1,0,0,1,1,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2500,1,2500,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,,,1,0,0,0,0,0,0,0,,,,,,,,,,,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,"CIFF",125,"094",3195.65966796875,20449.4968643683,20449.49609375,"8113303094815",1,1,,,,,,,,,,,,,,,,"11-08-084705",8,"084704",568,"00568","113","113",26.5038890838623,72.9116363525391,266.5,4.5,"113","Jodhpur",664,8113125189664,1
9,178,9,178,"Makhu pur","kachery",1,62,1,4,,1,,1,0,7,1,1,0,0,1,1,2,,1,,-666,,,,1000,,,20,24,0,0.200000002980232,70,20,0,-0.714285731315613,,,,,4,,6,,0,0,1,-1,0,,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,2000,1,2000,0,0,0,1,0,0,0,0,0,1,3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SHC",178,"272",1,42046.6330497999,42046.6328125,"9178578272887",0,1,,,,,,1,0,0,0,0,0,0,0,0,1,"11-09-168121",9,"168121",910,"00910","178","178",26.4843997955322,82.4297180175781,28.1000003814697,7.90000009536743,"178","178",2,91780010362,0
