hh_id_long_anon_str,sample,state_id,state_id_str,district_id,district_id_str,consent,cultivate_land,ag_decision_maker,ag_decision_maker_avl,hh_size,mig_size,return_size,not_return,mostinc,wage_avg_resp,inc_freq,wage_rec_resp,inc_freq1,mod1_complete,con_month,con_week,price_week_atta,price_week_onions,price_week_rice,price_curr_atta,price_curr_onions,price_curr_rice,mod3_complete,occup_march,occup_march_oth,earning_march,days_march,occup_now,earning_now,days_now,reason_nowork,reason_nowork_0,reason_nowork_1,reason_nowork_2,reason_nowork_3,reason_nowork_4,reason_nowork_5,reason_nowork_6,reason_nowork_99,reason_nowork__999,reason_nowork__888,reason_nowork_oth,mod2_complete,crop_grown,crop_grown_oth,crop_grown_label,primary_crop,primary_crop_oth,primary_crop_label,primary_crop_final,primary_crop_time,sell_act,sell_over,sell_start,sell_start_1,sell_start_2,sell_start_3,sell_start_4,sell_start_5,sell_start_6,sell_start_7,sell_start_8,sell_start_9,sell_start_10,sell_start_99,sell_start__999,sell_start__888,sell_start_other,price_holi,unit_qty_holi,unit_qty_holi_oth,price_last_week,unit_qty_last_week,unit_qty_last_week_oth,price_last_yr,unit_qty_yr,unit_qty_yr_oth,sell_diff,sell_diff_0,sell_diff_1,sell_diff_2,sell_diff_3,sell_diff_4,sell_diff_5,sell_diff_6,sell_diff_7,sell_diff_99,sell_diff__999,sell_diff__888,sell_diff_other,sell_qty_ldwn,sell_qty_prevyr,land_next_ssn,unit_land_next,unit_land_next_oth,inputs_next_ssn,borrow_nxt_ssn,land_prev_yr,unit_land_prev,unit_land_prev_oth,inputs_prevyr_m,borrow_prevyr_m,land_curr_ssn,unit_land_curr,unit_land_curr_oth,inputs_curr_season,borrow_curr_season,land_prevyr_pcrop,unit_land_pcrop,inputs_prevyr_pcrop,borrow_prevyr_pcrop,mod4_complete,bank_ac,rec_govt_transfer,check_bal,amt_govt_transfer,transfer_mem,price_change,price_change_0,price_change_1,price_change_2,price_change_3,price_change_4,price_change_5,price_change_6,price_change__999,price_change__888,nrega_avl,mod5_complete,health_fac_visit,health_fac_type,health_fac_type_oth,service_taken,service_taken_oth,health_avoid_service,service_avoided,service_avoided_1,service_avoided_2,service_avoided_3,service_avoided_4,service_avoided_5,service_avoided_6,service_avoided_7,service_avoided_99,service_avoided__999,service_avoided__888,service_avoided_oth,symptoms,symptoms_1,symptoms_2,symptoms_3,symptoms_4,symptoms_5,symptoms_6,symptoms_7,symptoms_8,symptoms_9,symptoms_10,symptoms_11,symptoms_99,symptoms__999,symptoms__888,symptoms_oth,prevention,prevention_1,prevention_2,prevention_3,prevention_4,prevention_5,prevention_6,prevention_7,prevention_8,prevention_9,prevention_10,prevention_11,prevention_12,prevention_13,prevention_99,prevention__999,prevention__888,prevention_oth,mod6_complete,state_new,gender,age,self_help,edu,caste,caste_oth,religion,religion_oth,village,block,district_new1,district_new2,fully_complete,service_taken_1,service_taken_2,service_taken_3,service_taken_4,service_taken_5,service_taken_6,service_taken_7,service_taken__999,service_taken__888,symptoms__99,weight_hh,health_eligible,sampling_frame,strata_id,weight_base,raked_wgt
10203282257798,SBCC,Bihar,10,203,203,Yes,No,,,7,0,,,,,,,,1,4000,500,28,60,,30,15,,1,Daily wage labour in agriculture,,250,5,Did not work for income,,,0 1,1,1,0,0,0,0,0,0,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes - received in bank / received cash or cheque from government,Don't know,500,1,3,0,0,0,1,0,0,0,0,0,Don't know,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Female,35,No,No schooling;,Don't know,,Hinduism,,Ramnagar,Hajinagar,203,,1,,,,,,,,,,,73601.8671875,0,SBCC,4,24,73601.87073247781
102032823621189,SBCC,Bihar,10,203,203,Yes,No,,,4,1,0,1,No one provided income in February,,,,,1,999,999,999,999,,999,30,,1,Daily wage labour in agriculture,,500,5,Did not work for income,,,0 3,1,0,0,1,0,0,0,0,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,-999,0,0,0,0,0,0,0,1,0,Don't know,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,22,No,High school graduate;,Other Backward Caste,,Islam,,Pipra norangiya,Yogapti,,,1,,,,,,,,,,,193060.484375,0,SBCC,6,27,193060.480622194
102032823621540,SBCC,Bihar,10,203,203,Yes,Yes,Yes,,7,0,,,,,,,,1,10000,700,21,40,,24,16,,1,,,,,,,,,,,,,,,,,,,,,Maize,,मक्का,,,,मक्का,Aug 2019 - Jan 2020,Sales not started,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,No,"Not in the last seven days, but in April",,,2,0,0,1,0,0,0,0,0,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,35,Yes,"Class 5-10,",Other Backward Caste,,Hinduism,,Pipra lohar toli ward no 03 pipra nawdangia,Yoga patti,,,1,,,,,,,,,,,82802.1015625,0,SBCC,6,27,82802.10457403751
102032823721028,SBCC,Bihar,10,203,203,Yes,Yes,Yes,,14,0,,,,,,,,1,-999,-999,18,32,,18,20,,1,,,,,,,,,,,,,,,,,,,,,Wheat,,गेहूँ,,,,गेहूँ,Aug 2019 - Jan 2020,Sales complete,More than 2 weeks ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,Kattha,,3500,0,2,Kattha,,2300,1500,,,,,,,,,,1,Yes,Yes - received in bank / received cash or cheque from government,In the last seven days,500,1,2,0,0,1,0,0,0,0,0,0,Don't know,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,32,Yes,"Class 5-10,",Other Backward Caste,,Hinduism,,Dhokara,Ramnagar,,,1,,,,,,,,,,,30667.4453125,0,SBCC,7,10,30667.44613853242
102032823721181,SBCC,Bihar,10,203,203,Yes,Yes,Yes,,12,0,,,,,,,,1,-999,1500,25,120,,25,15,,1,,,,,,,,,,,,,,,,,,,,,Sugarcane,,गन्ना,,,,गन्ना,Feb-May 2020,Sales not started,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Kattha,,15000,-888,2.5,Kattha,5000,5000,1,Yes,Yes - received in bank / received cash or cheque from government,"Not in the last seven days, but in April",500,1,3,0,0,0,1,0,0,0,0,0,Don't know,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,26,Yes,No schooling;,Scheduled Tribe,,Hinduism,,Dokraha,Ramnagar,,,1,,,,,,,,,,,23305.98828125,0,SBCC,7,12,23305.98751432816
10203282372196,SBCC,Bihar,10,203,203,Yes,Yes,Yes,,4,0,,,,,,,,1,5000,1200,24,22,,26,13,,1,,,,,,,,,,,,,,,,,,,,,Wheat,,गेहूँ,,,,गेहूँ,Aug 2019 - Jan 2020,Sales not started,,2,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,No,In the last seven days,,,3,0,0,0,1,0,0,0,0,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Male,25,Yes,"Class 5-10,",Other Backward Caste,,Hinduism,,Dhokraha,Ramnagar,203,,1,,,,,,,,,,,30667.4453125,0,SBCC,7,10,30667.44613853242
102032824751201,SBCC,Bihar,10,203,203,Yes,Yes,Yes,,6,0,,,,,,,,1,3000,500,25,45,,-999,20,,1,,,,,,,,,,,,,,,,,,,,,Wheat,,गेहूँ,,,,गेहूँ,Aug 2019 - Jan 2020,Sales not started,,99,0,0,0,0,0,0,0,0,0,0,1,0,0,Pura nahi hota hai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,Yes - received in bank / received cash or cheque from government,"Not in the last seven days, but in April",1500,3,3,0,0,0,1,0,0,0,0,0,Refused to resposnd,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,25,Yes,Class 5 or less;,Other Backward Caste,,Hinduism,,Bishnupur,Nowkhoti,,,1,,,,,,,,,,,276007,0,SBCC,3,90,276007.0152467919
10203282475351,SBCC,Bihar,10,203,203,Yes,No,,,12,1,1,,Respondent,10000,Monthly,-999,Respondent knows daily wage,1,-999,-999,.9990000128746033,-999,,30,50,,1,Self-employed in non-ag,,10000,7,Did not work for income,,,1,0,1,0,0,0,0,0,0,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes - received in bank / received cash or cheque from government,"Not in the last seven days, but in April",6000,2,2,0,0,1,0,0,0,0,0,0,Don't know,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,22,No,"Class 5-10,",Other Backward Caste,,Hinduism,,Sivraazpur,Nornatan thana,,,1,,,,,,,,,,,144137,0,SBCC,3,47,144136.9968511023
102032824821161,SBCC,Bihar,10,203,203,Yes,No,,,12,0,,,,,,,,1,7500,2000,21,35,,18,20,,1,Daily wage labour in agriculture,,300,5,Did not work for income,,,0 1,1,1,0,0,0,0,0,0,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes - received in bank / received cash or cheque from government,"Not in the last seven days, but in April",1500,3,3,0,0,0,1,0,0,0,0,0,Don't know,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,23,Yes,High school graduate;,Scheduled Tribe,,Hinduism,,Banwariya,Narkatiyaganj,,,1,,,,,,,,,,,7768.66259765625,0,SBCC,3,4,7768.662504776051
10204513029870,SBCC,Bihar,10,204,204,Yes,No,,,5,0,,,,,,,,1,10000,-999,-999,80,,22,13,,1,Salaried job,,0,-999,Did not work for income,,,1,0,1,0,0,0,0,0,0,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-777,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,.,.,,,0,,,,,,,,,,,49067.9140625,0,SBCC,6,16,49067.91382165187
10204513029891,SBCC,Bihar,10,204,204,Yes,Yes,Yes,,7,0,,,,,,,,1,7000,1400,22,110,,25,15,,1,,,,,,,,,,,,,,,,,,,,,Wheat,,गेहूँ,,,,गेहूँ,Aug 2019 - Jan 2020,Sales not started,,2,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,Yes - received in bank / received cash or cheque from government,"Not in the last seven days, but in April",1300,2,3,0,0,0,1,0,0,0,0,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,25,Yes,Class 5 or less;,Scheduled Caste;,,Hinduism,,Lal parsa,Suboli,,,1,,,,,,,,,,,31074.650390625,0,SBCC,6,16,31074.6500191042
1020451305319,SBCC,Bihar,10,204,204,Yes,Yes,Yes,,5,0,,,,,,,,1,7000,600,24,35,,20,16,,1,,,,,,,,,,,,,,,,,,,,,Wheat,,गेहूँ,,,,गेहूँ,Aug 2019 - Jan 2020,Sales not started,,2,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,Yes - received in bank / received cash or cheque from government,In the last seven days,1900,2,3,0,0,0,1,0,0,0,0,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,38,No,"Class 5-10,",Scheduled Caste;,,Hinduism,,Bilma sharma tola,Madhuban,,,1,,,,,,,,,,,52438.47265625,0,SBCC,8,27,52438.47190723835
10204513053411,SBCC,Bihar,10,204,204,Yes,Yes,Yes,,9,1,1,,No one provided income in February,,,,,1,4000,2000,-999,40,,25,15,,1,,,,,,,,,,,,,,,,,,,,,Maize,,मक्का,,,,मक्का,Aug 2019 - Jan 2020,Sales not started,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,Yes - received in bank / received cash or cheque from government,"Not in the last seven days, but in April",1500,3,-888,0,0,0,0,0,0,0,0,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,28,Yes,"Class 5-10,",Scheduled Caste;,,Hinduism,,Dulma,Madhbam,,,1,,,,,,,,,,,52438.47265625,0,SBCC,8,27,52438.47190723835
