demo_resp_gen,demo_age,demo_edu,demo_caste,demo_caste_oth,demo_religion,demo_religion_oth,demo_shg,hh_id_long_anon_str,demo_hoh_gender,demo_hoh_jati,demo_hoh_jati_oth,demo_ration_ownerhsip,demo_ration_type,demo_house_area,demo_house_area_unit,demo_house_area_unit_oth,demo_land_ownership,demo_land_ownership_os,demo_roof_material,demo_wall_material,demo_floor_material,demo_room_ct,demo_kitchen,demo_bathroom,demo_fuel_source_main,demo_fuel_source_oth,demo_drink_water,demo_drink_water_source_oth,demo_male_defec,demo_fem_defec,demo_toilet_type,demo_livestock_revenue,demo_income,demo_asset_sew_machine,demo_asset_refrigerator,demo_asset_wash_machine,demo_asset_almirah,demo_asset_kerosene_stove,demo_asset_stove,demo_asset_cycle,demo_asset_rickshaw,demo_asset_scooter,demo_asset_car_jeep,demo_asset_e_rickshaw,demo_asset_landline,demo_asset_mobile,demo_asset_tv,demo_asset_cd_dvd,demo_asset_fan,demo_asset_computer,demo_asset_pressure_cook,demo_asset_cooler,demo_asset_air_condo,demo_asset_radio,demo_asset_cylinder,demo_asset_cable,demo_asset_gold,demo_asset_silver,demo_ration_ownership,demo_location,demo_fem_hoh_edu,demo_asset_furniture,demo_asset_motorcycle,demo_asset_car,demo_asset_jeep,demo_asset_tractor,demo_fuel_kerosene,demo_fuel_firewood,demo_fuel_cropres,demo_fuel_coal,demo_fuel_dung,demo_fuel_electricity,demo_fuel_dk,demo_fuel_ref,demo_fuel_oth,demo_fem_edu,demo_fem_edu_oth,state_id,state_id_str,district_id,district_id_str,psu_id,psu_id_str,sampling_frame,ppi_score_raw,ppi_quartile,state,district,consent,demo_ag_hh,demo_ag_dec_mkr,demo_agdm_avail,demo_agdm_consent,agr_sow_status,agr_no_sow,agr_land_cult,agr_land_unit,agr_land_rented,agr_land_cult_prevyr,agr_land_rent_prevyr,agr_crop_most,agr_crop_money,agr_fert_cost,agr_fert_cost_prevyr,agr_fert_cost_change,agr_fert_amt_change,agr_fert_diffs,agr_fert_diffs_shut,agr_fert_diffs_nostock,agr_fert_diffs_aadhar,agr_fert_diffs_charge,agr_fert_diffs_oth,agr_fert_diffs_none,agr_fert_diffs_ref,agr_borrow,agr_no_borrow,agr_borrow_kcc,agr_borrow_prevyr,agr_no_borrow_prevyr,agr_borrow_kcc_prevyr,agr_complete,demo_hh_size,con_lckdwn,con_wk,demo_gen_ag,demo_gen_nonag,con_limit_lckdwn,con_limit_lckdwn_reduce,con_limit_lckdwn_out,con_limit_lckdwn_hungry,con_limit_lckdwn_noeat,con_limit_lckdwn_none,con_limit_lckdwn_ref,con_limit_wk,con_limit_wk_reduce,con_limit_wk_out,con_limit_wk_hungry,con_limit_wk_noeat,con_limit_wk_none,con_limit_wk_ref,con_complete,mig_size,mig_return_size,mig_future_mig,mig_most_inc,mig_location,mig_lckdwn_work,mig_avg_wage,mig_wage_unit,mig_curr_work,mig_daily_wage,mig_wage_unit_curr,mig_complete,lab_lckdwn_occu,lab_lckdwn_wage,lab_lckdwn_freq,lab_curr_occu,lab_curr_wage,lab_curr_freq,lab_nowork,lab_nowork_none,lab_nowork_cant_find,lab_nowork_wages,lab_nowork_materials,lab_nowork_covid_choice,lab_nowork_fines,lab_nowork_sick,lab_nowork_oth,lab_nowork_ref,lab_complete,rel_bank,rel_transfer_rec,rel_check_balance,rel_transfer_amt,rel_transfer_mem,rel_withdraw_try,rel_withdraw_notry,rel_withdraw_atm,rel_withdraw_biz,rel_withdraw_shg,rel_withdraw_unable,rel_withdraw_ref,rel_no_withdraw,rel_nowithdraw_crowd,rel_nowithdraw_health,rel_nowithdraw_far,rel_nowithdraw_nocash,rel_nowithdraw_closed,rel_nowithdraw_unavail,rel_nowithdraw_fail,rel_nowithdraw_oth,rel_nowithdraw_ref,rel_mnrega,rel_mnrega_delay,rel_mnrega_avg,rel_shg_rec,rel_shg_ppe,rel_shg_san,rel_shg_info,rel_shg_food,rel_shg_meds,rel_shg_econ_loan,rel_shg_con_loan,rel_shg_grains,rel_shg_norec,rel_shg_none,rel_shg_dk,rel_shg_ref,rel_ration_card,rel_pds_rec,rel_pds_rec_wheat,rel_pds_rec_rice,rel_pds_rec_pulses,rel_pds_rec_oth,rel_pds_rec_none,rel_pds_rec_ref,rel_pds_wheat_free,rel_pds_rice_free,rel_pds_wheat_buy,rel_pds_rice_buy,rel_pds_wheat_prc,rel_pds_rice_prc,rel_nonpds_wheat_buy,rel_nonpds_rice_buy,rel_nonpds_wheat_prc,rel_nonpds_rice_prc,rel_complete,hea_fac_visit,hea_fac_type,hea_service,hea_service_oth,hea_avoid,hea_avoid_serv,hea_avoid_treat,hea_avoid_imm,hea_avoid_anc,hea_avoid_fp,hea_avoid_child_grw,hea_avoid_checkup,hea_avoid_edu,hea_avoid_ref,hea_avoid_oth,hea_symp,hea_symp_fever,hea_symp_cough,hea_symp_tired,hea_symp_breath,hea_symp_pain,hea_symp_appetite,hea_symp_throat,hea_symp_diarrhea,hea_symp_nausea,hea_symp_congest,hea_symp_smell,hea_symp_ref,hea_symp_oth,hea_prev,hea_prev_wash,hea_prev_san,hea_prev_cover,hea_prev_face,hea_prev_dist,hea_prev_crowd,hea_prev_sick,hea_prev_contact,hea_prev_touch,hea_prev_clean,hea_prev_mask,hea_prev_nospit,hea_prev_home,hea_prev_ref,hea_prev_oth,hea_complete,fully_complete
Male,35,,Scheduled Caste;, ,Hinduism,,Yes,1020723900931,Male,10007, ,Yes,Annapurna Yojana (White),1,Katta, ,Owned, ,Concrete,Burnt brick with cement,Cement,5,Yes,Yes,Wood, ,Yes, ,Own toilet,Own toilet,Flush/ pour flush latrine connected to Septic tank,36000,12000,,"Yes, currently own",,,,,"Yes, currently own",,"Yes, currently own",,,,"Yes, currently own","Yes, currently own",,"Yes, currently own",,"Yes, currently own",,,,"Yes, currently own","Yes, currently own","Yes, currently own","Yes, currently own",,,,,,,,,,,,,,,,,,,,Bihar,10,207,207,557,557,NRLP,53,4,Bihar,207,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8000,2000,,Male,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,1,Salaried job in government,-888,7,Did not work for income,,,99,0,0,0,0,0,0,0,1,0,1,Yes,Don't Know,No,,,,,,,,,,,,,,,,,,,,None of the above,,-999,1 2,1,1,0,0,0,0,0,0,0,0,0,0,Yes,2 3,0,1,1,0,0,0,,,5,,3,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Male,33,,Scheduled Caste;, ,Hinduism,,Yes,1020723900948,Male,10024, ,Yes,Annapurna Yojana (White),3,Dismil, ,Owned, ,G.I./Metal/asbestos sheets,Burnt brick with mud,Mud,1,Yes,No,Dung Cakes, ,Yes, ,Open defecation,Open defecation,This Household does not have a toilet,0,0,,,,,,,,,,,,,"Yes, currently own",,,"Yes, currently own",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bihar,10,207,207,557,557,NRLP,14,2,Bihar,207,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10000,600,,Female,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,Someone other than the respondent,Home town,2,300,Respondent knows daily wage,0,,,1,"Daily wage labour in agriculture,",100,6,Did not work for income,,,1 4,0,1,0,0,1,0,0,0,0,1,Yes,Yes,,2000,1,2,0,1,0,0,0,0,,,,,,,,,,,Tried and got work for some of the days,Yes,194,9,0,0,0,0,0,0,0,0,1,0,0,0,Yes,2 3,0,1,1,0,0,0,,,9,,-999,,100,,20,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Male,35,,Scheduled Caste;, ,Hinduism,,Yes,1020723901110,Male,10009, ,Yes,APL (Green),1,Katta, ,Owned, ,Thatch,Burnt brick with cement,Mud,2,No,No,LPG/Natural Gas, ,Yes, ,Open defecation,Open defecation,This Household does not have a toilet,0,0,"Yes, currently own",,,,"Yes, currently own",,"Yes, currently own",,,,,,"Yes, currently own",,,,,"Yes, currently own",,,,"Yes, currently own",,"Yes, currently own",,,,,,,,,,,,,,,,,,,,,Bihar,10,207,207,493,493,NRLP,10,1,Bihar,207,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2000,500,,Female,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,1,"Daily wage labour in agriculture,",350,2,"Daily wage labour in agriculture,",700,2,1,0,1,0,0,0,0,0,0,0,1,Yes,Yes,,1500,1,2,0,1,0,0,0,0,,,,,,,,,,,Tried and got work for some of the days,Yes,-999,1 2 3,1,1,1,0,0,0,0,0,0,0,0,0,No,,,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Male,60,,Other Backward Caste, ,Hinduism,,No,1020723901146,Male,10002, ,Yes,Annapurna Yojana (White),1,Katta, ,Owned, ,Hand-made tiles,Burnt brick with cement,Mud,2,Yes,Yes,Wood, ,Yes, ,Own toilet,Shared toilet,Flush/ pour flush latrine connected to piped sewer system,7000,0,,,,,,,"Yes, currently own",,,,,,"Yes, currently own",,,"Yes, currently own",,"Yes, currently own",,,,"Yes, currently own",,"Yes, currently own",,,,,,,,,,,,,,,,,,,,,Bihar,10,207,207,493,493,NRLP,41,4,Bihar,207,Yes,Yes,Yes,,,I have completed sowing,,1.5,Bigha,-999,-999,,Paddy,,4000,-999,Don't Know,Don't Know,0,0,0,0,0,0,1,0,0,"Did not need a loan, used personal savings",,-999,,,1,6,3000,400,Female,Male,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,Yes,Yes,,1000,1,2,0,1,0,0,0,0,,,,,,,,,,,None of the above,,-999,1,1,0,0,0,0,0,0,0,0,0,0,0,Yes,2 3,0,1,1,0,0,0,,,-999,,,,-999,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Male,39,,Scheduled Caste;, ,Hinduism,,Yes,1020723901148,Male,10009, ,Yes,BPL (Red),.5,Katta, ,Owned, ,Concrete,Burnt brick with cement,Mud,1,No,No,Wood, ,Yes, ,Own toilet,Own toilet,Flush/ pour flush latrine connected to piped sewer system,0,0,,,,,,,,,,,"Yes, currently own",,"Yes, currently own",,,"Yes, currently own",,,,,,"Yes, currently own",,"Yes, currently own",,,,,,,,,,,,,,,,,,,,,Bihar,10,207,207,493,493,NRLP,26,3,Bihar,207,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5000,1000,,Female,1 2 3,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,1,Self-employed in non-cultivation,300,3,Did not work for income,,,4 5,0,0,0,0,1,1,0,0,0,1,Yes,Yes,,500,1,3,0,0,1,0,0,0,,,,,,,,,,,Tried but did not get work for any of the days,,250,9,0,0,0,0,0,0,0,0,1,0,0,0,Yes,0,0,0,0,0,1,0,,,9,,-999,,200,,20,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Male,4,,Scheduled Caste;, ,Hinduism,,Yes,1020723901152,Male,10009, ,No,,.25,Katta, ,Owned, ,Concrete,Burnt brick with cement,Cement,2,No,No,Wood, ,Yes, ,Own toilet,Own toilet,Pit latrine with slab/ventilated improved pit,0,0,,,,,,,"Yes, currently own",,,,,,"Yes, currently own",,,"Yes, currently own",,"Yes, currently own",,,,,,"Yes, currently own","Yes, currently own",,,,,,,,,,,,,,,,,,,,Bihar,10,207,207,493,493,NRLP,23,3,Bihar,207,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5000,1600,,Male,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,1,Did not work for income,,,Did not work for income,,,1,0,1,0,0,0,0,0,0,0,1,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,Does not have a job card,,200,1 2 8,1,1,0,0,0,0,0,1,0,0,0,0,No,,,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Male,49,,Other Backward Caste, ,Hinduism,,No,1020723901159,Male,10002, ,Yes,APL (Green),1,Katta, ,Owned, ,Hand-made tiles,Burnt brick with mud,Mud,1,Yes,No,LPG/Natural Gas, ,No, ,Shared toilet,Shared toilet,Flush/ pour flush latrine connected to Septic tank,0,0,"Yes, currently own",,,,,,"Yes, currently own",,,,,,"Yes, currently own",,,"Yes, currently own",,,,,,"Yes, currently own",,"Yes, currently own",,,,,,,,,,,,,,,,,,,,,Bihar,10,207,207,493,493,NRLP,19,2,Bihar,207,Yes,Yes,Yes,,,I am still in the process of sowing,,30,Kattha,10,30,10,Paddy,,2400,2400,Prices of all have decreased,Quantities have stayed the same,2 3 4,0,1,1,1,0,0,0,4000,,0,6000,,0,1,6,2000,450,Female,Male,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,Someone other than the respondent,Home town,0,,,3,150,Respondent knows daily wage,1,,,,,,,,,,,,,,,,,,Yes,Yes,,2000,1,3,0,0,1,0,0,0,,,,,,,,,,,Tried and got work for some of the days,No,150,9,0,0,0,0,0,0,0,0,1,0,0,0,Yes,2 3,0,1,1,0,0,0,,,25,,3,,200,,18,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Male,40,,Scheduled Caste;, ,Hinduism,,No,1020723901160,Male,10009, ,Yes,AAY (Yellow),1,Katta, ,Owned, ,Hand-made tiles,Bamboo etc,Mud,2,Yes,No,LPG/Natural Gas, ,Yes, ,Open defecation,Open defecation,This Household does not have a toilet,0,19500,"Yes, currently own",,,,"Yes, currently own",,"Yes, currently own",,,,,,"Yes, currently own",,,,,,,,,"Yes, currently own",,"Yes, currently own",,,,,,,,,,,,,,,,,,,,,Bihar,10,207,207,493,493,NRLP,12,2,Bihar,207,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9000,2000,,Female,3 4,0,0,1,1,0,0,3 4,0,0,1,1,0,0,1,0,,,,,,,,,,,1,Did not work for income,,,Did not work for income,,,6,0,0,0,0,0,0,1,0,0,1,No,No,,,,,,,,,,,,,,,,,,,,,Tried but did not get work for any of the days,,228,9,0,0,0,0,0,0,0,0,1,0,0,0,Yes,2 3,0,1,1,0,0,0,,,12,,-999,,100,,19,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Male,21,,Scheduled Caste;, ,Hinduism,,No,1020723901161,Male,10009, ,Yes,BPL (Red),.25,Katta, ,Owned, ,G.I./Metal/asbestos sheets,Burnt brick with cement,Mud,2,No,No,Wood, ,Yes, ,Open defecation,Open defecation,This Household does not have a toilet,0,0,,,,,,,"Yes, currently own",,,,,,"Yes, currently own",,,"Yes, currently own",,,,,,,,"Yes, currently own",,,,,,,,,,,,,,,,,,,,,Bihar,10,207,207,493,493,NRLP,22,3,Bihar,207,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,-999,6000,,Male,1 2,1,1,0,0,0,0,1 2,1,1,0,0,0,0,1,2,1,0,Someone other than the respondent,Work town,4,350,Respondent knows daily wage,4,350,Respondent knows daily wage,1,"Daily wage labour in agriculture,",350,4,Did not work for income,,,1,0,1,0,0,0,0,0,0,0,1,Yes,Yes,,500,1,2,0,1,0,0,0,0,,,,,,,,,,,Does not have a job card,,-999,9,0,0,0,0,0,0,0,0,1,0,0,0,Yes,2 3,0,1,1,0,0,0,,,7,,350,,50,,20,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Male,28,,Other Backward Caste, ,Hinduism,,Yes,102072390117,Female,10002, ,Yes,APL (Green),1,Katta, ,Owned, ,Machine made tiles,Burnt brick with cement,Mud,2,Yes,Yes,LPG/Natural Gas, ,Yes, ,Own toilet,Own toilet,Flush/ pour flush latrine connected to Septic tank,15000,0,,,,,"Yes, currently own",,"Yes, currently own",,,,,,"Yes, currently own",,,"Yes, currently own",,,,,,"Yes, currently own",,"Yes, currently own",,,,,,,,,,,,,,,,,,,,,Bihar,10,207,207,493,493,NRLP,24,3,Bihar,207,Yes,Yes,No,"no, you cannot talk to the ag decision maker",,I have completed sowing,,5,Bigha,0,5,0,Paddy,,1020,1020,Prices have stayed the same,Quantities have stayed the same,0,0,0,0,0,0,1,0,0,"Did not need a loan, used personal savings",,0,"Did not need a loan, used personal savings",,1,6,2000,400,Female,Male,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,,,,,,,,,,Does not have a job card,,-999,1 2,1,1,0,0,0,0,0,0,0,0,0,0,No,,,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
